,Comment,Sentiment,Negative (%),Neutral (%),Positive (%),Scaler_value,weighted_SV,weight,video_id
37,Bro gave him thousands of dollars of therapy 😭😭😅,Neutral,7.67,57.69,34.63,0.27,1.35,5,Y4-gFIfGXiQ
38,That escalated Quickly 😂😂,Neutral,23.71,55.95,20.34,-0.03,-0.03,1,Y4-gFIfGXiQ
39,Holy crap u just changed their life 😂,Positive,14.3,38.21,47.49,0.33,0.33,1,Y4-gFIfGXiQ
40,Respect to the camera man for walking behind both of them as they met up,Positive,0.96,26.38,72.66,0.72,3.5999999999999996,5,Y4-gFIfGXiQ
41,"The first words they exchanged: 

""well you look terrible-""",Negative,81.93,16.48,1.59,-0.8,-0.8,1,Y4-gFIfGXiQ
42,Bro need justice,Neutral,38.1,57.35,4.56,-0.34,-1.7000000000000002,5,Y4-gFIfGXiQ
43,Bro let his intrusive thoughts win when he met up with her 😂☠️,Neutral,35.5,58.12,6.38,-0.29,-1.45,5,Y4-gFIfGXiQ
44,My condolences for this guy and the guy she's in relationship with..,Negative,66.19,31.48,2.33,-0.64,-0.64,1,Y4-gFIfGXiQ
45,"Oof.. that should’ve been the one question asked before the date was offered! (A date well worth over $500 to include round trip airfare, hotel, etc..)",Neutral,28.7,53.98,17.32,-0.11,-0.55,5,Y4-gFIfGXiQ
46,That ending single-handedly sealed his fate in the G Y M,Neutral,31.24,60.63,8.13,-0.23,-1.1500000000000001,5,Y4-gFIfGXiQ
47,Bro was having his moment😂,Neutral,6.19,64.14,29.67,0.23,0.23,1,Y4-gFIfGXiQ
48,"GIVE HIM ANOTHER DATE, PLEASE",Neutral,14.56,63.4,22.04,0.07,0.35000000000000003,5,Y4-gFIfGXiQ
49,"getting a blind date while being taken?
 dafuq is that",Negative,82.29,16.84,0.87,-0.81,-4.050000000000001,5,Y4-gFIfGXiQ
50,"Esto es una alerta para el novio de la chica, ella haría lo que fuera por dinero.💯👋😎",Neutral,1.66,62.71,35.63,0.34,1.7000000000000002,5,Y4-gFIfGXiQ
51,bro had the most immaculate pickup line,Positive,0.61,6.95,92.44,0.92,4.6000000000000005,5,Y4-gFIfGXiQ
52,when the camera men unite,Neutral,3.71,78.69,17.6,0.14,0.14,1,Y4-gFIfGXiQ
53,"NAAAH BRO, HE CREATED A NEW GYM BRO",Neutral,19.64,70.57,9.79,-0.1,-0.1,1,Y4-gFIfGXiQ
54,The gym got a new member after that ending,Neutral,5.26,81.49,13.26,0.08,0.4,5,Y4-gFIfGXiQ
55,La reacción del chico es lo mjr,Neutral,8.9,85.25,5.84,-0.03,-0.03,1,Y4-gFIfGXiQ
56,They can be a great couple ❤,Positive,0.12,1.55,98.34,0.98,0.98,1,Y4-gFIfGXiQ
57,Jimmy is so kind It's impressive,Positive,0.22,1.95,97.83,0.98,4.9,5,Y4-gFIfGXiQ
58,Best free trip for these 2 🎉,Positive,0.09,1.78,98.12,0.98,0.98,1,Y4-gFIfGXiQ
59,"This end saved him some heartache.
Imagine being the guy home waiting for her.",Positive,7.26,45.63,47.11,0.4,2.0,5,Y4-gFIfGXiQ
60,There’s a non zero chance they’re siblings.,Neutral,38.56,57.36,4.07,-0.34,-0.34,1,Y4-gFIfGXiQ
61,It is priceless to see people smile. Hats of to the sponsor...,Positive,0.14,1.76,98.1,0.98,4.9,5,Y4-gFIfGXiQ
62,"Before date : ""You look terrible!""
After date : ""YOU ARE TERRIBLE!""",Negative,96.39,3.14,0.47,-0.96,-4.8,5,Y4-gFIfGXiQ
63,Emotional damage leveled up 👁️👄👁️,Negative,68.74,29.27,1.98,-0.67,-0.67,1,Y4-gFIfGXiQ
64,bro just casually sends people accross the world for a date,Neutral,27.83,66.74,5.44,-0.22,-1.1,5,Y4-gFIfGXiQ
65,This guy was at a stand up show and explained what happen,Neutral,2.31,80.92,16.77,0.14,0.14,1,Y4-gFIfGXiQ
66,My man spends more on shorts than most creators spends on actual videos 😂😂,Neutral,20.06,61.4,18.54,-0.02,-0.1,5,Y4-gFIfGXiQ
67,Soniya at the end was BRUTAL.,Neutral,41.32,53.27,5.41,-0.36,-0.36,1,Y4-gFIfGXiQ
68,If world get this kind things 💙 it becomes heaven ❤️,Positive,0.15,2.72,97.13,0.97,0.97,1,Y4-gFIfGXiQ
69,"And this is how villans are  made

Edit:👍",Neutral,12.09,60.65,27.26,0.15,0.75,5,Y4-gFIfGXiQ
70,Bro actually needs a another woman,Neutral,29.22,67.98,2.8,-0.26,-0.26,1,Y4-gFIfGXiQ
71,Give him her $500. That's messed up to accept this while in a relationship.,Negative,92.88,6.54,0.58,-0.92,-4.6000000000000005,5,Y4-gFIfGXiQ
72,"Based on my experience, it gives me assassins creed vibes",Neutral,1.59,74.76,23.65,0.22,0.22,1,Y4-gFIfGXiQ
73,"I’m in Italy rn with my fam, the coincidence that i’m also in Venice 😭",Positive,0.92,26.33,72.75,0.72,0.72,1,Y4-gFIfGXiQ
74,Jimmy need to get this dude another date,Neutral,34.14,61.74,4.13,-0.3,-1.5,5,Y4-gFIfGXiQ
75,Give my bro another date!,Positive,0.86,26.51,72.63,0.72,0.72,1,Y4-gFIfGXiQ
76,The man is good👍,Positive,0.32,3.93,95.75,0.95,0.95,1,Y4-gFIfGXiQ
77,The guy is chill af,Positive,0.98,23.35,75.67,0.75,3.75,5,Y4-gFIfGXiQ
78,This guys is soooo handsome,Positive,0.2,0.94,98.87,0.99,0.99,1,Y4-gFIfGXiQ
79,harder than reality,Negative,56.18,40.98,2.85,-0.53,-0.53,1,Y4-gFIfGXiQ
80,"She’s going on dates while in a relationship??? 
☕️☕️☕️",Neutral,27.52,65.8,6.68,-0.21,-1.05,5,Y4-gFIfGXiQ
81,The nostalgia hit me when the partly cloudy theme from pixar starting playing.,Positive,0.23,11.01,88.77,0.89,4.45,5,Y4-gFIfGXiQ
82,Yall really need to verify if they're in a relationship . Guy just got paid 500 in advance for therapy 😭,Neutral,47.12,47.63,5.24,-0.42,-2.1,5,Y4-gFIfGXiQ
83,that ending...,Neutral,40.64,53.69,5.67,-0.35,-0.35,1,Y4-gFIfGXiQ
84,And people wonder why guys have trust issues,Negative,69.03,29.95,1.02,-0.68,-0.68,1,Y4-gFIfGXiQ
85,"""Well you look terrible."" Slapped me back to reality.",Negative,82.57,15.16,2.26,-0.8,-4.0,5,Y4-gFIfGXiQ
86,"Achievement Unlocked

*Sad Ending*",Neutral,42.26,50.73,7.01,-0.35,-1.75,5,Y4-gFIfGXiQ
87,the up music fits so well,Positive,0.32,5.55,94.13,0.94,0.94,1,Y4-gFIfGXiQ
88,this guy needs to be declared a hero immediately.,Neutral,13.59,47.03,39.38,0.26,1.3,5,Y4-gFIfGXiQ
89,Went for the $500,Neutral,9.69,82.28,8.02,-0.02,-0.02,1,Y4-gFIfGXiQ
90,soniya belongs to the streets for the last couple seconds of the vid,Neutral,21.95,72.14,5.9,-0.16,-0.16,1,Y4-gFIfGXiQ
0,Jimmy's the type of person who gets a loss of about $6800 and still calls it a profit...,Negative,49.97,46.33,3.69,-0.46,-2.3000000000000003,5,ooAwCOP67GQ
1,Pawnshops never give you what you paid for or what the item is worth. They are in the business making money.,Negative,75.1,23.03,1.87,-0.73,-3.65,5,ooAwCOP67GQ
2,Insane,Negative,63.16,31.29,5.54,-0.58,-2.9,5,ooAwCOP67GQ
3,Jimmy’s the kinda guy to lose 6 thousand but still be happy after bargaining for 200 more,Neutral,28.06,58.53,13.42,-0.15,-0.75,5,ooAwCOP67GQ
4,Bro just paid that pawn shops rent for a couple months lol,Neutral,8.55,79.38,12.07,0.04,0.2,5,ooAwCOP67GQ
5,This man is literally a living legend,Positive,0.43,3.65,95.92,0.95,4.75,5,ooAwCOP67GQ
6,"The problem is he bought it from a jeweler, but then he sold at a pawnshop.  😂",Negative,61.62,35.09,3.29,-0.58,-2.9,5,ooAwCOP67GQ
7,"Think pawn shops just give you what the material value is while also trying to profit, and the jewelers also try to profit.",Neutral,22.81,71.52,5.67,-0.17,-0.8500000000000001,5,ooAwCOP67GQ
8,This is common knowledge. We all know they do this. The people who pawn things are usually desperate for money.,Negative,70.66,27.81,1.53,-0.69,-3.4499999999999997,5,ooAwCOP67GQ
9,Someone buy this man a steering wheel lol,Neutral,35.66,55.13,9.21,-0.26,-1.3,5,ooAwCOP67GQ
10,Dude made a -50% profit,Negative,54.74,40.07,5.19,-0.5,-2.5,5,ooAwCOP67GQ
11,This man literally needs a TV show,Neutral,18.63,49.57,31.8,0.13,0.65,5,ooAwCOP67GQ
12,"El problema de las casas de empeño es que cuando te venden te lo venden por encima del precio promedio solo para ganar 20 o 30% más de lo que pagaron y cuando te comprar lo hacen por el 20 o 30% mas abajo del promedio para así tener sus ganancias unque creo que los 7,200 se me hizo muy bajo para costar 13,995 dólares
Lo justo creo que si serían 8,500 pero se ponen tacaños XD",Neutral,10.91,81.27,7.82,-0.03,-0.15,5,ooAwCOP67GQ
13,This man needs a TV show,Neutral,12.97,65.75,21.29,0.08,0.4,5,ooAwCOP67GQ
14,"Si te estafan yo lo pregunté, y te dicen que te van a entregar de la mitad para atrás del precio del producto",Neutral,6.81,83.09,10.1,0.03,0.15,5,ooAwCOP67GQ
15,"Jimmy's the kind of guy to have 10k, lose 9.3k then bargain for the 700 dollars",Negative,49.12,48.42,2.46,-0.47,-2.3499999999999996,5,ooAwCOP67GQ
16,The tax man is honestly furious with you.,Negative,93.14,6.52,0.35,-0.93,-0.93,1,ooAwCOP67GQ
17,"”We got extra 200$”- Jimmy
”Bro, you just lost 7,000 $”- Cameraman",Negative,51.46,44.3,4.23,-0.47,-2.3499999999999996,5,ooAwCOP67GQ
18,Coulda paid my credit card dept with what he just burned😭🤣,Negative,50.57,43.85,5.58,-0.45,-0.45,1,ooAwCOP67GQ
19,"Dude, you freaked me out when listened this in my first language 😂",Negative,81.75,15.92,2.33,-0.79,-0.79,1,ooAwCOP67GQ
20,Lesson learned: never trust a pawnshop,Negative,68.21,30.42,1.37,-0.67,-3.35,5,ooAwCOP67GQ
21,Jimmy brother is always Leveling up 😮. This is insane❤,Positive,0.75,4.91,94.34,0.94,0.94,1,ooAwCOP67GQ
22,And then he wrote it off as a loss and went his merry way,Neutral,34.21,58.06,7.73,-0.26,-0.26,1,ooAwCOP67GQ
23,Now they will sell it for 28k by telling buyers that it was previously owned by Mr.Beast,Neutral,22.13,74.71,3.16,-0.19,-0.95,5,ooAwCOP67GQ
24,"Much love and respect❤❤. Tension ka graph niche ja raha hai aur paise ka upar. First time in my life, I'm independent. Just because you and this mind-blowing Way. 🥺🥺",Positive,0.29,2.09,97.63,0.97,0.97,1,ooAwCOP67GQ
25,Bro tried to escape the Matrix but failed,Negative,54.32,43.21,2.47,-0.52,-0.52,1,ooAwCOP67GQ
26,Jimmy is the kinda guy who loses $6000+ but still calls it a profit 😂,Neutral,46.4,46.95,6.65,-0.4,-2.0,5,ooAwCOP67GQ
27,That's a great price! They gave you 50%,Positive,0.23,1.87,97.9,0.98,0.98,1,ooAwCOP67GQ
28,Would this be considered money laundering?,Neutral,37.61,61.0,1.39,-0.36,-1.7999999999999998,5,ooAwCOP67GQ
29,You basically just gave them 6 grand for disrespecting you straight to your face 😂,Negative,77.83,20.34,1.83,-0.76,-3.8,5,ooAwCOP67GQ
30,Everything jimmy makes content wise is amazing 😂,Positive,0.2,2.21,97.59,0.97,0.97,1,ooAwCOP67GQ
31,Pawn shops make money for offering around half the price of the actual item,Neutral,9.98,81.23,8.8,-0.01,-0.01,1,ooAwCOP67GQ
32,He called it a profit because of the revenue 😂😂,Neutral,5.43,67.63,26.94,0.22,0.22,1,ooAwCOP67GQ
33,La casa de empeños no te estafan simplemente ellos son revendedores y suelen  comprar al precio más barato para volver a venderlo por el precio que tú pagaste.,Neutral,17.09,76.61,6.3,-0.11,-0.55,5,ooAwCOP67GQ
34,Lesson learned never trust pawnshop 😮,Negative,80.64,18.08,1.28,-0.79,-0.79,1,ooAwCOP67GQ
35,This man was literally born to make history and be a good person,Positive,0.92,8.45,90.63,0.9,4.5,5,ooAwCOP67GQ
36,Bro isn't even going to make enough money from this short to recover the damages,Negative,86.68,12.71,0.62,-0.86,-0.86,1,ooAwCOP67GQ
37,The pawnshops will always pay less than what you would pay them for something. Otherwise they would just be giving stuff away. They would be MrBeasts,Negative,74.95,23.04,2.01,-0.73,-0.73,1,ooAwCOP67GQ
38,"When you have so much money, even loss is profit.",Neutral,11.81,58.9,29.29,0.17,0.8500000000000001,5,ooAwCOP67GQ
39,The Paenshops will always scan you,Neutral,22.07,73.6,4.33,-0.18,-0.18,1,ooAwCOP67GQ
40,Bro really said half it and give it to the next person,Neutral,18.34,75.94,5.72,-0.13,-0.13,1,ooAwCOP67GQ
41,50% of what the item is worth is actually very good for a pawnshop,Positive,0.51,11.19,88.3,0.88,4.4,5,ooAwCOP67GQ
42,He should have gone back in 4 days and see how much they're selling it for.,Neutral,18.72,78.88,2.39,-0.16,-0.16,1,ooAwCOP67GQ
43,Easy tax write off for his business…we’ve known this man is smart.,Positive,4.47,31.43,64.1,0.6,0.6,1,ooAwCOP67GQ
44,"My man threw away almost half his money and calls it a ""$200 profit"" 😂😂😂",Negative,79.13,18.11,2.76,-0.76,-3.8,5,ooAwCOP67GQ
45,Por qué lo vendiste ? Con saber la oferta que te hacen era más que suficiente 😂 quiero pensar que no lo vendiste en verdad.,Neutral,12.59,75.13,12.28,-0.0,-0.0,1,ooAwCOP67GQ
46,Damn my man just wanted to spend money on unnecessary things,Negative,95.95,3.73,0.31,-0.96,-0.96,1,ooAwCOP67GQ
47,Something people forget is that pawn shops need to make a profit off of the things they buy to sell.,Negative,57.4,39.33,3.26,-0.54,-2.7,5,ooAwCOP67GQ
48,You pay for the instant cash of pawn shops-his loss is the cost of business.,Negative,68.25,30.21,1.54,-0.67,-0.67,1,ooAwCOP67GQ
49,"teknik marketing yang bagus jimmy, kamu mengendors jam Rolex 😂",Neutral,6.01,82.01,11.98,0.06,0.3,5,ooAwCOP67GQ
50,Pawn shops have the upper hand because they know your coming to them in some sort of need,Neutral,3.86,68.66,27.48,0.24,1.2,5,ooAwCOP67GQ
51,As it is been said money amplifys stupidity.,Negative,83.41,15.73,0.86,-0.83,-0.83,1,ooAwCOP67GQ
52,Thanos (rick) : Te ofrezco 7200 y me estoy arriesgando…,Neutral,5.72,89.28,5.01,-0.01,-0.05,5,ooAwCOP67GQ
53,Jimmy pulling a John Mulaney,Neutral,8.55,85.89,5.55,-0.03,-0.15,5,ooAwCOP67GQ
54,Jimmy looked so happy even though he lost $6000 😂,Positive,1.45,9.82,88.73,0.87,4.35,5,ooAwCOP67GQ
55,That get out was personal,Neutral,23.49,71.14,5.37,-0.18,-0.18,1,ooAwCOP67GQ
56,"Bro got $200 extra dollars and it’s still a lot less then he paid, master of haggling.",Neutral,32.61,60.34,7.05,-0.26,-1.3,5,ooAwCOP67GQ
57,"Who knew that the place who’s whole way of getting money is buying things off of people for as cheap as possible, and then reselling them for higher price, wouldn’t buy the item at the price the item is actually worth.",Negative,57.13,38.96,3.9,-0.53,-0.53,1,ooAwCOP67GQ
58,Imagine mr.beast helping needy persons who are really in need of help instead of just random peoples who just takes opportunity to buy more and more stuffs.,Neutral,31.61,53.07,15.32,-0.16,-0.16,1,ooAwCOP67GQ
59,He didn’t lose money. This short made him just as much money as the Rolex alone.,Neutral,8.46,62.3,29.24,0.21,1.05,5,ooAwCOP67GQ
60,John Mulaney has entered the chat,Neutral,5.71,90.27,4.02,-0.02,-0.02,1,ooAwCOP67GQ
61,Most items lose 50 percent of value after you buy them imo,Negative,73.26,25.43,1.31,-0.72,-0.72,1,ooAwCOP67GQ
62,50% of retail is exactly what they should be offering. That's standard.,Neutral,17.64,62.62,19.75,0.02,0.02,1,ooAwCOP67GQ
63,This guy was basically born to make history and to be a good person,Positive,2.35,22.25,75.4,0.73,3.65,5,ooAwCOP67GQ
64,Es el único tipo que se pone feliz por perder dinero 😅,Positive,1.04,35.98,62.99,0.62,0.62,1,ooAwCOP67GQ
65,We need Rick from Pawn Stars on this channel!,Neutral,1.02,59.09,39.9,0.39,1.9500000000000002,5,ooAwCOP67GQ
66,Bro just paid her 2 months salary 😂😂,Neutral,10.22,70.01,19.77,0.1,0.5,5,ooAwCOP67GQ
67,Jimmy reenacting John Mulaney's comedy show,Neutral,2.44,84.9,12.66,0.1,0.5,5,ooAwCOP67GQ
68,Man you roasted the rolex 😆,Neutral,9.77,57.69,32.54,0.23,0.23,1,ooAwCOP67GQ
69,Well now we know that pawn shops half the price of everything.,Negative,73.47,25.38,1.15,-0.72,-3.5999999999999996,5,ooAwCOP67GQ
70,Jimmy should be america's president,Neutral,19.18,61.19,19.64,0.0,0.0,1,ooAwCOP67GQ
71,If you went to pawn stars you would get 150 and a half eaten sandwich,Negative,64.36,33.56,2.08,-0.62,-0.62,1,ooAwCOP67GQ
72,The man needs a TV show,Neutral,8.24,74.23,17.53,0.09,0.44999999999999996,5,ooAwCOP67GQ
73,Welp thats what they need to do in order to survive lol,Neutral,4.6,64.26,31.14,0.27,0.27,1,ooAwCOP67GQ
74,Never trust a pawnshop,Negative,78.52,20.52,0.96,-0.78,-0.78,1,ooAwCOP67GQ
75,This man apparently hates his money,Negative,96.3,3.43,0.28,-0.96,-4.8,5,ooAwCOP67GQ
76,Did anyone else notice the weird way he was steering on the way from the pawnshop he bought it to place he sold it? I’m pretty sure he wasn’t even steering it all,Neutral,47.57,48.03,4.4,-0.43,-0.43,1,ooAwCOP67GQ
77,"É a realidade do Brasil , aliás em todo lugar .",Neutral,5.75,83.86,10.39,0.05,0.05,1,ooAwCOP67GQ
78,"You have just demonstrated ""buying power"" very nicely.",Positive,1.28,13.4,85.32,0.84,4.2,5,ooAwCOP67GQ
79,Jimmy could hv wore it for 5 years and sold it for 50k,Neutral,15.63,78.22,6.15,-0.09,-0.09,1,ooAwCOP67GQ
80,Pawn shops gotta make money 🤷‍♂️,Neutral,11.75,79.73,8.52,-0.03,-0.03,1,ooAwCOP67GQ
81,When losing money is better than spending it!,Positive,16.99,40.57,42.45,0.25,1.25,5,ooAwCOP67GQ
82,"Yeah that is about a standard offer, half the potential gull value",Neutral,29.07,65.04,5.89,-0.23,-0.23,1,ooAwCOP67GQ
83,How on earth you profit 200?! Lmfao,Negative,79.83,17.49,2.68,-0.77,-3.85,5,ooAwCOP67GQ
84,Dude made 75% profit,Neutral,9.71,62.08,28.2,0.18,0.8999999999999999,5,ooAwCOP67GQ
85,money laundering in its purest form lololol,Negative,63.91,31.05,5.03,-0.59,-0.59,1,ooAwCOP67GQ
86,Com $6800 eu zerava a vida...,Neutral,6.43,88.66,4.91,-0.02,-0.02,1,ooAwCOP67GQ
87,"at least half were able to return, already happy!",Positive,0.17,2.58,97.25,0.97,4.85,5,ooAwCOP67GQ
88,"No estafan, su negocio es comprar  y vender... ahora puedes pedir prestado y dejas tu reloj como garantia!",Neutral,6.4,67.79,25.81,0.19,0.19,1,ooAwCOP67GQ
89,Bro actually accepted it 😭,Positive,2.34,47.5,50.16,0.48,2.4,5,ooAwCOP67GQ
0,Bro threw money at mickey as if Mickey was a stripper,Negative,74.33,24.98,0.68,-0.74,-3.7,5,Y0cBiGUuB1Y
1,"*He hung up on his mom*
Legend says he's now homeless",Negative,58.91,39.18,1.91,-0.57,-2.8499999999999996,5,Y0cBiGUuB1Y
2,"He hung up on his mom.
Legends say he's still in Disney land.",Neutral,27.96,63.43,8.62,-0.19,-0.95,5,Y0cBiGUuB1Y
3,We can know how brave this man is... he hung up his mom,Positive,7.81,42.55,49.64,0.42,2.1,5,Y0cBiGUuB1Y
4,that first man really missed out,Negative,86.03,13.08,0.89,-0.85,-4.25,5,Y0cBiGUuB1Y
5,"-Let's go to disneyland.
-no, calm calm calm calm.",Neutral,5.9,66.59,27.51,0.22,1.1,5,Y0cBiGUuB1Y
6,"""You're going to Disneyland""
""No thanks""",Neutral,30.54,54.94,14.51,-0.16,-0.8,5,Y0cBiGUuB1Y
7,"Es increíble la humildad de este joven, con bastante dinero pero aún así sigue grabando el audio con su teléfono 😅",Neutral,2.25,52.34,45.41,0.43,2.15,5,Y0cBiGUuB1Y
8,"bro, try to go to Indonesia 🙌",Positive,0.33,23.33,76.34,0.76,3.8,5,Y0cBiGUuB1Y
9,He hung up on his mom: that a business decision.He knew what was up.,Neutral,46.16,50.37,3.47,-0.43,-2.15,5,Y0cBiGUuB1Y
10,I've never subscribed to a channel so fast,Neutral,31.23,49.52,19.25,-0.12,-0.6,5,Y0cBiGUuB1Y
11,Guy spent probably $1k on Disneyland food alone. Well played!,Positive,0.66,8.95,90.39,0.9,4.5,5,Y0cBiGUuB1Y
12,My dude got *rejected* by Tigger-,Negative,78.75,19.97,1.29,-0.77,-3.85,5,Y0cBiGUuB1Y
13,The tiger absolutely rejected him,Negative,77.93,21.14,0.92,-0.77,-0.77,1,Y0cBiGUuB1Y
14,Tigger fr had his priorities set,Negative,59.89,37.9,2.21,-0.58,-2.9,5,Y0cBiGUuB1Y
15,My man looks photogenic,Positive,0.25,4.4,95.34,0.95,0.95,1,Y0cBiGUuB1Y
16,"Man said, ""no no"", because he knew he was going to get a 1 hour lecture from his mother",Negative,59.74,38.24,2.02,-0.58,-2.9,5,Y0cBiGUuB1Y
17,Jimmy is the greatest....love u bro..,Positive,0.27,1.02,98.71,0.98,0.98,1,Y0cBiGUuB1Y
18,camera man never dies,Neutral,26.21,57.67,16.12,-0.1,-0.5,5,Y0cBiGUuB1Y
19,All due respect and appreciation to Mr. Best🌹🌹🌹🌹🌹🌹🌹🌹,Positive,0.17,4.23,95.59,0.95,4.75,5,Y0cBiGUuB1Y
20,Can’t wait for twitter users to somehow cancel this short,Neutral,26.81,37.32,35.87,0.09,0.44999999999999996,5,Y0cBiGUuB1Y
21,He just hung up on his bro😂,Negative,52.68,41.92,5.4,-0.47,-0.47,1,Y0cBiGUuB1Y
22,Bro got rejected by the Tyger,Negative,79.63,19.32,1.05,-0.79,-3.95,5,Y0cBiGUuB1Y
23,Definitely seems better than going to class,Positive,4.57,23.95,71.48,0.67,3.35,5,Y0cBiGUuB1Y
24,that mickey mouse was having a great day,Positive,0.45,6.03,93.52,0.93,4.65,5,Y0cBiGUuB1Y
25,bro really hung up on his mom💀💀,Negative,83.17,14.09,2.74,-0.8,-4.0,5,Y0cBiGUuB1Y
26,"It's really a good reason to be subscribed, it works 😮",Positive,0.27,2.94,96.79,0.97,0.97,1,Y0cBiGUuB1Y
27,bro just tried to get a high five  😂,Neutral,15.68,62.81,21.52,0.06,0.3,5,Y0cBiGUuB1Y
28,Moral of the story : Be subscribed to Mr. Beast,Neutral,9.8,80.99,9.21,-0.01,-0.01,1,Y0cBiGUuB1Y
29,You are the goat Jimmy,Positive,1.48,16.22,82.31,0.81,0.81,1,Y0cBiGUuB1Y
30,It’s so wholesome to give somebody a chance to go to Disneyland g go or being subbed to your channel which is free,Positive,0.15,2.94,96.91,0.97,4.85,5,Y0cBiGUuB1Y
31,"Can you come here in Bohol, Philippines?",Neutral,2.16,92.77,5.06,0.03,0.03,1,Y0cBiGUuB1Y
32,lo que diera para que venga a Ecuador y lo conociera,Neutral,9.98,80.99,9.03,-0.01,-0.01,1,Y0cBiGUuB1Y
33,This is so kind as always. Thanks to be on the world,Positive,0.17,1.25,98.57,0.98,4.9,5,Y0cBiGUuB1Y
34,The Tiger just ignored him 😂,Neutral,23.92,68.67,7.41,-0.17,-0.8500000000000001,5,Y0cBiGUuB1Y
35,dang bro is trippin',Negative,68.15,28.93,2.92,-0.65,-0.65,1,Y0cBiGUuB1Y
36,What's the place in the background?,Neutral,6.3,86.87,6.83,0.01,0.01,1,Y0cBiGUuB1Y
37,"When he went home after a fun day at Disneyland, his mom was waiting for him with a slipper in hand…",Positive,0.22,10.45,89.33,0.89,4.45,5,Y0cBiGUuB1Y
38,We love you Jimi😊😂❤,Positive,0.14,1.78,98.08,0.98,4.9,5,Y0cBiGUuB1Y
39,If he asked to indians : no and ill never😂,Neutral,46.09,50.29,3.63,-0.42,-2.1,5,Y0cBiGUuB1Y
40,"You're an inspiration, thank you for everything you do bud!",Positive,0.16,0.97,98.87,0.99,4.95,5,Y0cBiGUuB1Y
41,Mr beast todos te quieren por tu bondad y cariño :3    ❤,Positive,0.4,20.87,78.73,0.78,0.78,1,Y0cBiGUuB1Y
42,Usted es el mejor de lo mejor... Ojalá estuviera en estados unido y hacer cualquiera de las locuras que hace. Por unos billetes 😂,Neutral,2.12,55.5,42.38,0.4,0.4,1,Y0cBiGUuB1Y
43,Man has been waiting for this moment his entire life,Neutral,7.67,60.25,32.08,0.24,1.2,5,Y0cBiGUuB1Y
44,"The way he gave money to mickey mouse, very funny",Positive,0.84,20.35,78.82,0.78,0.78,1,Y0cBiGUuB1Y
45,Bro come to Maui!,Neutral,1.9,62.78,35.31,0.33,0.33,1,Y0cBiGUuB1Y
46,Mickey is a victim in the clubs,Negative,66.51,32.48,1.01,-0.65,-3.25,5,Y0cBiGUuB1Y
47,"Tigger:no high five for u, hahah",Negative,60.64,34.4,4.96,-0.56,-0.56,1,Y0cBiGUuB1Y
48,Homie ain't ever in Arizona 😢 I ain't ever gonna get me in one,Negative,87.25,11.8,0.95,-0.86,-0.86,1,Y0cBiGUuB1Y
49,"His mum slapped him so hard he went back to Disney Land, but with the Make A Wish foundation",Neutral,40.68,45.19,14.13,-0.27,-1.35,5,Y0cBiGUuB1Y
50,The mother is more important than everything ❤,Positive,0.57,6.99,92.44,0.92,4.6000000000000005,5,Y0cBiGUuB1Y
51,trop beau le chapeau,Neutral,13.42,65.61,20.97,0.08,0.08,1,Y0cBiGUuB1Y
52,bro changed his whole scedual for the past few days,Neutral,17.1,79.0,3.9,-0.13,-0.65,5,Y0cBiGUuB1Y
53,Why does that interviewer care so much about Mr Beast?,Negative,69.18,29.51,1.31,-0.68,-0.68,1,Y0cBiGUuB1Y
54,"That ""no no"" was very affectionate towards his mother",Positive,2.12,31.26,66.62,0.64,3.2,5,Y0cBiGUuB1Y
55,What a sub,Negative,84.23,14.09,1.67,-0.83,-0.83,1,Y0cBiGUuB1Y
56,Please visit the Philippines 🎉🎉🎉🎉,Positive,0.12,11.75,88.13,0.88,0.88,1,Y0cBiGUuB1Y
57,It's impossible to look at this man without smiling 😃,Positive,0.43,3.12,96.46,0.96,4.8,5,Y0cBiGUuB1Y
58,Take me to Disney 🙏,Positive,0.16,10.93,88.91,0.89,0.89,1,Y0cBiGUuB1Y
59,"Jimmy, the angel we need",Positive,1.04,30.75,68.21,0.67,3.35,5,Y0cBiGUuB1Y
60,"You're going to Disneyland
Plays the Alton towers theme smart",Positive,0.25,12.59,87.16,0.87,0.87,1,Y0cBiGUuB1Y
61,Come to Baltimore and do this🙃,Positive,0.73,42.62,56.65,0.56,0.56,1,Y0cBiGUuB1Y
62,Jimmy is a person who goes out of his way to see people smile and be happy,Positive,0.34,5.58,94.09,0.94,4.699999999999999,5,Y0cBiGUuB1Y
63,"Is ok, meet Mr beast on street is harder than win the lottery 😂😂",Neutral,29.83,51.73,18.44,-0.11,-0.11,1,Y0cBiGUuB1Y
64,You are a beast,Negative,52.41,32.29,15.3,-0.37,-0.37,1,Y0cBiGUuB1Y
65,He came to the world through the small screen,Neutral,3.54,76.69,19.77,0.16,0.8,5,Y0cBiGUuB1Y
66,He hung up on his mum😂,Negative,60.52,36.05,3.43,-0.57,-0.57,1,Y0cBiGUuB1Y
67,Never subscribed to anyone this fast .....,Negative,48.52,44.58,6.9,-0.42,-0.42,1,Y0cBiGUuB1Y
68,that “no..” was personal,Neutral,25.87,69.22,4.91,-0.21,-1.05,5,Y0cBiGUuB1Y
69,Can you come to the southkorea? Korea is have lotteworld and Everland❤,Positive,0.26,21.02,78.72,0.78,3.9000000000000004,5,Y0cBiGUuB1Y
